province,latitude,longitude,rainfall,soil_ph,crop,yield,year
South Kalimantan,-2.8406,115.3706,2620,5.04,Rubber,0.91,2015
Southeast Sulawesi,-4.1892,122.7995,2007,5.5,Cashew,0.97,2024
Bali,-8.1384,115.3794,1952,5.92,Coffee,1.47,2018
East Kalimantan,1.9063,116.8979,3075,4.98,Palm Oil,3.2,2022
North Sumatra,1.9348,98.7012,2891,5.0,Rice,4.89,2023
East Nusa Tenggara,-9.3526,119.5845,1481,5.06,Cocoa,1.76,2019
West Papua,-3.0054,133.5369,3541,5.5,Rice,4.4,2024
Bali,-8.3905,115.2146,2364,5.45,Rice,4.62,2019
South Sumatra,-3.4333,104.4093,2325,5.57,Rice,4.92,2017
Central Sulawesi,-2.0746,120.9942,2338,5.04,Cocoa,1.61,2023
Jakarta Special Capital Region,-6.1855,106.8905,1590,5.55,Fruit,3.66,2024
West Papua,-0.5159,132.7068,3482,5.95,Sweet Potato,15.01,2021
South Sumatra,-3.2853,103.7441,2156,5.59,Rice,4.53,2023
East Kalimantan,1.8093,117.408,2984,4.93,Palm Oil,3.86,2015
South Kalimantan,-1.9095,115.6137,3068,4.77,Rubber,0.84,2021
Southeast Sulawesi,-4.458,121.9241,2217,5.54,Cocoa,1.88,2018
Bangka-Belitung Islands,-2.0224,105.6502,1687,5.63,Pepper,0.92,2023
Banten,-6.7612,106.3851,1906,5.92,Corn,4.59,2017
East Java,-8.188,112.1754,2770,5.5,Rice,4.7,2020
Riau,-0.5474,102.2956,2438,5.27,Palm Oil,3.44,2015
Central Sulawesi,-1.0368,119.7675,2527,5.41,Rice,4.99,2021
North Sumatra,2.2524,99.4608,3033,5.16,Rubber,0.9,2020
Papua,-8.7096,140.8966,3164,5.84,Sweet Potato,10.72,2015
West Kalimantan,-2.6646,110.9437,3087,5.81,Rice,4.65,2019
Bengkulu,-4.3174,103.1876,1775,6.26,Coffee,1.22,2020
Central Java,-7.1978,110.775,2903,5.73,Rice,4.47,2021
North Kalimantan,2.8576,117.3209,2936,6.37,Rice,4.67,2019
West Sulawesi,-3.1996,119.229,2374,5.63,Cocoa,1.7,2018
Central Java,-6.9202,110.74,2826,5.68,Rice,4.95,2018
North Sumatra,2.568,99.3779,2704,5.35,Rice,4.79,2018
West Java,-7.5204,108.6852,2850,4.5,Tea,1.7,2024
Bali,-8.4087,115.5637,2075,5.5,Fruit,3.7,2023
West Papua,-1.295,132.2228,3523,5.58,Rice,5.03,2023
Papua,-7.5441,138.706,3629,5.09,Sago,12.71,2015
North Sulawesi,1.7197,124.7607,3075,5.46,Cloves,0.8,2024
West Nusa Tenggara,-8.392,118.2626,1551,5.62,Rice,4.87,2019
North Sumatra,1.6392,98.5906,2638,4.6,Palm Oil,3.7,2022
East Kalimantan,-0.8199,116.2473,2531,5.38,Palm Oil,3.75,2015
Central Kalimantan,-0.8761,113.2907,2853,5.9,Rice,5.16,2022
Gorontalo,0.6003,122.88,2488,6.36,Corn,4.0,2021
Papua,-5.7211,140.1049,3429,5.62,Cassava,9.39,2016
Riau Islands,4.0651,108.2136,2626,6.31,Coconut,3.45,2016
Jakarta Special Capital Region,-6.1452,106.7613,1615,6.08,Fruit,3.84,2023
East Kalimantan,-0.0496,115.3053,2845,5.36,Palm Oil,3.8,2019
Riau Islands,-0.5302,104.331,2335,5.13,Rice,4.11,2020
Central Kalimantan,-1.5574,113.7952,2886,5.21,Rubber,1.0,2015
Jakarta Special Capital Region,-6.1566,106.8345,1587,5.95,Fruit,3.43,2016
Banten,-6.7769,106.4767,1662,5.66,Corn,3.7,2020
North Sulawesi,1.0583,124.894,2594,5.23,Cloves,0.87,2024
West Kalimantan,-0.3876,113.0892,3121,4.92,Palm Oil,4.1,2016
Jambi,-1.9116,102.8453,2164,5.24,Rice,4.45,2023
South Sumatra,-3.7457,104.3905,2328,5.98,Rice,4.62,2016
West Sulawesi,-1.7847,119.5893,2100,5.0,Cocoa,1.72,2018
Bali,-8.332,114.9673,2153,5.73,Fruit,3.75,2017
North Kalimantan,1.4969,115.7155,2596,6.05,Rice,4.63,2020
Jambi,-2.6073,102.5695,2545,4.95,Rubber,0.87,2022
North Sumatra,3.3565,98.2223,2545,5.71,Rice,4.54,2017
South Sulawesi,-2.6346,121.1654,2332,5.0,Cocoa,1.77,2024
Jakarta Special Capital Region,-6.216,106.9569,2070,6.64,Urban Vegetables,4.29,2020
North Sumatra,0.9834,99.0946,3132,5.74,Rice,4.42,2017
North Sumatra,3.5186,98.844,2917,5.97,Rice,4.77,2019
Bengkulu,-2.9623,101.7347,2389,5.55,Coffee,1.54,2016
West Java,-7.04,108.392,2910,5.05,Tea,2.02,2017
Bengkulu,-4.0079,102.7029,2041,4.71,Cinnamon,0.73,2020
Jakarta Special Capital Region,-6.3336,106.8689,2019,5.5,Fruit,3.34,2019
Central Java,-7.118,110.6815,3100,6.02,Rice,3.94,2022
Bangka-Belitung Islands,-2.9606,106.3508,2008,5.91,Pepper,1.17,2020
West Java,-7.6203,107.9447,3000,5.34,Tea,2.01,2018
Bali,-8.1817,115.1453,2290,5.26,Rice,4.53,2022
Central Java,-7.1772,109.5895,2917,6.4,Sugarcane,6.58,2019
Special Region of Yogyakarta,-7.9381,110.197,2713,5.47,Rice,4.88,2021
Riau,0.8033,102.0938,2929,6.51,Coconut,3.54,2021
South Sumatra,-2.9017,103.6371,1972,4.5,Rubber,0.84,2024
West Sumatra,-0.4091,100.3485,2622,4.93,Cinnamon,0.79,2019
Banten,-6.7661,106.233,1968,5.68,Rice,5.03,2024
West Papua,-2.0083,132.5239,3657,5.69,Cassava,8.9,2020
Gorontalo,0.8359,121.5143,2335,5.5,Corn,4.62,2023
East Kalimantan,1.6698,117.7221,2760,5.47,Palm Oil,4.01,2020
North Sumatra,3.5074,98.7484,2789,5.4,Rubber,0.89,2015
North Sumatra,1.9835,99.4451,2696,4.59,Palm Oil,3.46,2022
Central Sulawesi,0.5591,120.2073,2375,5.34,Cocoa,1.95,2020
Papua,-5.0336,138.3206,3468,5.87,Sweet Potato,15.61,2018
Papua,-4.3742,138.0093,3412,6.32,Sweet Potato,12.91,2016
Bangka-Belitung Islands,-1.9356,106.0786,2031,6.14,Pepper,1.27,2021
North Sumatra,0.7376,99.3283,3105,5.03,Palm Oil,3.62,2019
North Sulawesi,3.6471,125.5127,2298,5.0,Cloves,0.8,2018
Central Sulawesi,0.7556,121.1558,2075,5.5,Corn,3.39,2023
East Nusa Tenggara,-8.3641,120.2223,1625,6.08,Corn,4.24,2019
Southeast Sulawesi,-4.9317,122.4821,2137,5.0,Cocoa,1.67,2024
Riau,0.6979,102.1988,2280,5.07,Palm Oil,3.42,2024
Maluku,-2.9668,128.352,3057,5.41,Cloves,0.98,2016
East Nusa Tenggara,-8.2523,124.5466,1462,5.89,Cocoa,1.77,2017
Central Java,-7.752,109.5295,2755,6.47,Sugarcane,7.15,2020
Riau,0.6205,101.5155,2558,5.52,Palm Oil,4.19,2024
West Papua,-1.5474,133.911,3080,5.66,Cassava,7.71,2017
Central Java,-7.6103,110.8296,2777,5.91,Rice,5.19,2016
Riau,-0.0701,102.829,2468,5.14,Rubber,0.96,2017
Bengkulu,-3.2157,102.1233,2442,5.5,Cinnamon,0.69,2018
Central Java,-6.609,110.7925,2949,5.41,Rice,4.53,2024
Bangka-Belitung Islands,-1.5545,105.5578,1975,5.5,Pepper,1.17,2024
Banten,-6.1432,106.2695,1640,6.1,Corn,3.63,2016
Gorontalo,0.6223,123.2227,2436,5.5,Cashew,0.92,2021
West Sumatra,-1.2005,101.1056,2909,4.95,Tea,1.68,2019
West Nusa Tenggara,-8.7032,119.1688,1653,6.01,Corn,4.31,2019
Special Region of Yogyakarta,-8.1427,110.8157,3019,6.72,Soybeans,1.98,2015
Papua,-5.347,139.4635,3601,5.93,Sweet Potato,14.66,2015
West Papua,-2.1426,132.855,3510,5.23,Cassava,9.89,2021
Bengkulu,-3.3091,102.2804,1879,5.5,Cinnamon,0.64,2015
North Kalimantan,2.9265,115.2444,2731,5.33,Rubber,0.94,2017
West Sulawesi,-2.1027,119.3626,2188,5.38,Rice,5.05,2018
North Sulawesi,4.3492,126.7218,2452,5.0,Cloves,1.02,2021
West Sulawesi,-2.0862,119.32,2645,5.08,Rice,4.19,2021
Southeast Sulawesi,-5.123,122.4432,1893,5.67,Cashew,0.9,2019
East Kalimantan,-1.083,115.8599,3047,5.11,Rubber,0.94,2022
Central Sulawesi,-2.2195,121.5313,2152,5.88,Rice,4.89,2020
Papua,-8.096,139.3124,3746,5.83,Rice,4.55,2019
Central Kalimantan,-2.7705,111.3083,3143,5.89,Palm Oil,3.77,2019
North Maluku,-1.8713,125.8362,3237,5.54,Rice,4.2,2015
Lampung,-5.6831,105.6313,2324,6.41,Sugarcane,6.21,2019
South Sumatra,-3.8082,104.3491,2279,4.5,Palm Oil,3.92,2021
West Nusa Tenggara,-8.2998,116.3477,1765,5.86,Corn,4.79,2018
North Maluku,-1.8331,124.6899,2945,5.97,Nutmeg,1.0,2022
West Sulawesi,-2.1334,119.3729,1785,5.49,Cocoa,1.57,2015
South Sumatra,-2.8441,102.15,2344,4.74,Rubber,0.84,2024
West Nusa Tenggara,-8.801,118.6447,1945,5.66,Rice,5.12,2019
West Nusa Tenggara,-8.4246,118.6691,1828,5.72,Corn,4.15,2024
North Sumatra,2.2956,98.2604,2556,4.71,Rubber,0.88,2019
West Sulawesi,-2.3215,119.5192,2341,5.31,Cocoa,1.77,2019
South Sumatra,-4.1495,104.7829,2152,5.32,Rice,5.08,2021
Aceh,4.0113,96.6041,2438,6.01,Coffee,1.48,2016
Banten,-6.4899,105.8812,1932,5.3,Rice,4.31,2016
Riau,0.1215,101.5878,2748,5.14,Palm Oil,3.88,2016
Bengkulu,-2.5329,101.5426,2306,6.08,Rice,4.78,2018
East Nusa Tenggara,-9.9559,120.6434,1325,5.49,Rice,5.43,2022
East Kalimantan,2.4065,117.3138,2549,5.52,Rice,4.65,2023
Lampung,-5.4331,104.5253,2121,5.08,Coffee,1.34,2019
Central Kalimantan,-2.4978,114.6116,3030,5.14,Rubber,0.98,2022
West Sumatra,0.1029,100.8022,2678,4.91,Cinnamon,0.86,2023
North Sumatra,2.9264,98.6914,2866,5.49,Rubber,0.99,2019
North Kalimantan,4.0291,116.7383,2501,5.69,Rice,4.46,2020
North Sumatra,2.9534,98.9351,2816,4.93,Rubber,0.97,2015
North Sulawesi,3.3801,125.5929,2681,6.9,Coconut,3.58,2021
West Nusa Tenggara,-8.7586,117.828,1796,6.15,Corn,4.63,2020
Bangka-Belitung Islands,-3.1753,107.7376,2106,5.5,Pepper,1.28,2021
Central Java,-7.5431,109.655,2435,5.99,Corn,3.72,2020
Central Java,-7.0647,110.9883,2521,6.22,Rice,4.5,2019
Banten,-6.8829,106.2895,1976,6.0,Corn,4.45,2018
West Nusa Tenggara,-8.3063,116.6313,1977,5.71,Corn,3.74,2019
West Sumatra,-2.3589,101.102,2546,4.97,Cinnamon,0.76,2016
Special Region of Yogyakarta,-8.018,110.3364,2905,6.39,Corn,3.72,2016
North Kalimantan,2.6081,116.0762,2729,5.09,Rubber,1.0,2024
Maluku,-3.6697,127.0462,3080,6.31,Coconut,3.95,2020
Aceh,4.6138,96.436,2294,5.76,Rice,4.32,2015
Gorontalo,0.6364,122.7078,2045,5.32,Rice,4.21,2024
Jakarta Special Capital Region,-6.3117,106.8949,1703,6.5,Fruit,3.71,2017
West Sulawesi,-1.7493,119.7495,2192,5.93,Coconut,3.54,2018
West Sumatra,-1.3497,101.4612,2633,5.46,Rice,4.87,2024
North Sumatra,0.7895,97.7385,3054,4.62,Rubber,0.81,2024
Riau,0.4804,102.5511,2283,5.25,Palm Oil,3.32,2020
East Kalimantan,1.6366,116.2455,2523,5.56,Rice,4.25,2018
North Maluku,1.2922,127.7651,2728,6.13,Coconut,3.62,2022
South Sulawesi,-3.0077,120.0823,2337,5.79,Cashew,0.93,2015
West Sumatra,-1.5205,100.965,2645,5.75,Rice,5.1,2015
West Sulawesi,-2.7462,119.6264,2199,5.38,Rice,5.34,2023
Southeast Sulawesi,-4.0059,121.9123,2167,5.4,Cocoa,1.96,2022
Central Java,-7.7201,108.9083,2875,6.33,Corn,4.31,2021
Maluku,-6.6586,134.1202,2683,6.37,Coconut,3.55,2018
Aceh,4.9085,97.5866,2595,5.72,Rice,4.62,2020
West Nusa Tenggara,-8.4751,117.0327,1661,5.5,Rice,4.63,2016
Papua,-4.7145,138.251,3470,5.25,Sago,11.55,2023
Papua,-3.0823,136.9564,3806,5.28,Cassava,9.43,2020
Special Region of Yogyakarta,-7.6548,110.3292,2878,6.23,Corn,4.54,2021
North Sulawesi,0.8302,124.5481,2475,5.44,Cloves,1.04,2015
Special Region of Yogyakarta,-8.0653,110.7283,2846,5.79,Rice,4.95,2021
North Maluku,1.2471,128.6435,3245,5.5,Nutmeg,0.82,2021
Bali,-8.8287,115.1818,2197,5.52,Coffee,1.37,2022
Jakarta Special Capital Region,-6.1306,106.9325,1626,5.95,Fruit,4.01,2016
Central Kalimantan,-1.1186,112.7004,3027,6.0,Rubber,0.94,2016
West Kalimantan,0.4002,112.7472,3143,4.73,Palm Oil,3.56,2024
Bangka-Belitung Islands,-1.903,105.4293,2154,5.5,Pepper,1.12,2015
West Sumatra,-0.3696,100.5707,2681,5.7,Rice,4.63,2016
Aceh,2.8353,97.8696,2658,5.99,Rice,4.93,2016
East Kalimantan,0.2061,115.6325,2699,5.16,Palm Oil,4.01,2017
Jambi,-1.9837,101.4802,2246,5.31,Rice,4.86,2017
Central Sulawesi,-1.2823,121.6836,2461,5.07,Cocoa,1.57,2016
West Kalimantan,0.3765,109.338,3117,5.39,Rice,5.12,2018
Aceh,3.9368,97.3713,2609,6.19,Rice,4.2,2017
Gorontalo,0.886,123.1111,2039,5.5,Cashew,0.88,2020
Special Region of Yogyakarta,-7.8259,110.3414,2666,6.42,Soybeans,2.31,2023
Riau,-0.3222,101.6519,2583,4.72,Palm Oil,3.57,2023
Lampung,-4.3423,105.4686,1959,6.61,Sugarcane,7.29,2015
West Java,-6.8686,106.628,3208,5.16,Rice,4.47,2015
Bengkulu,-4.4381,103.494,2196,5.41,Rice,4.27,2023
Central Sulawesi,-1.2689,121.993,2176,5.57,Cocoa,1.67,2024
East Nusa Tenggara,-8.883,120.7464,1222,5.99,Corn,4.27,2020
Papua,-7.3411,139.9843,3696,5.66,Sweet Potato,13.59,2023
Papua,-5.2689,139.4447,3215,5.71,Sweet Potato,11.86,2023
Bali,-8.6062,115.0998,2305,5.61,Coffee,1.47,2019
East Java,-7.3995,111.7429,2324,6.21,Tobacco,1.96,2022
Riau,-0.3621,102.7542,2533,6.25,Coconut,3.71,2017
Lampung,-4.3472,104.8068,1949,5.53,Coffee,1.41,2024
North Maluku,-0.6331,128.1805,3276,5.85,Rice,3.94,2018
Central Kalimantan,-3.0276,112.1243,3226,5.48,Rice,4.07,2021
Aceh,4.8359,97.3401,2294,5.77,Rice,4.57,2015
Gorontalo,0.8983,122.4456,2301,6.0,Soybeans,2.47,2022
Jambi,-1.0813,103.1148,2334,4.97,Rubber,0.9,2023
West Sumatra,-0.706,100.4579,2742,4.75,Cinnamon,0.72,2023
South Kalimantan,-2.9479,114.7598,2958,5.52,Rice,4.6,2019
Bangka-Belitung Islands,-2.8436,106.4933,1967,5.5,Pepper,1.09,2023
Riau,0.4125,102.9429,2956,5.05,Rubber,0.84,2019
Gorontalo,0.8614,122.3396,2255,5.62,Cashew,0.92,2017
Riau,0.5924,102.0418,3127,4.53,Rubber,0.8,2023
West Nusa Tenggara,-8.682,117.2152,1704,6.07,Corn,4.28,2021
East Java,-7.3532,112.5408,2614,5.97,Rice,4.63,2022
West Sulawesi,-1.9579,119.4618,2541,5.3,Cocoa,1.39,2022
West Kalimantan,-1.7967,110.1504,2968,5.49,Rice,4.78,2024
East Java,-7.9245,114.1323,2561,6.33,Rice,4.8,2019
Papua,-4.6355,138.8798,3320,5.78,Cassava,9.1,2019
Jakarta Special Capital Region,-6.2543,106.8192,1815,5.9,Fruit,4.05,2022
North Kalimantan,2.589,115.3244,2674,4.88,Palm Oil,3.89,2021
East Nusa Tenggara,-9.1314,124.7411,1470,6.05,Corn,4.19,2023
North Sulawesi,4.3028,126.7459,2684,5.2,Cloves,0.95,2021
East Java,-7.7598,112.7902,2380,5.25,Rice,4.23,2018
Southeast Sulawesi,-3.011,121.6358,2263,5.88,Cashew,0.96,2020
Lampung,-4.035,105.334,1766,5.24,Rice,4.39,2022
Central Kalimantan,-0.5529,114.4497,2886,4.63,Palm Oil,3.51,2024
Maluku,-3.2337,129.3409,2796,5.71,Coconut,3.38,2024
North Kalimantan,2.4835,116.2566,2607,4.89,Palm Oil,3.71,2022
West Sulawesi,-3.3728,119.1555,1844,5.71,Cocoa,1.35,2023
North Sulawesi,4.3916,126.7754,2750,6.07,Coconut,3.71,2019
West Nusa Tenggara,-8.5506,119.0039,1854,6.23,Corn,4.53,2018
West Nusa Tenggara,-8.3564,116.6335,2018,5.65,Corn,3.66,2022
Banten,-6.552,105.1753,2218,5.99,Corn,4.19,2017
West Papua,-2.227,132.6687,3232,5.68,Cassava,9.36,2017
Maluku,-3.2032,129.8007,3258,7.13,Coconut,3.13,2018
North Kalimantan,3.8481,116.1678,2450,5.82,Rice,4.24,2022
South Sulawesi,-5.5382,119.7814,2058,6.09,Corn,4.54,2023
Bangka-Belitung Islands,-2.8788,106.5527,1795,4.57,Rubber,0.9,2021
East Kalimantan,1.0845,114.8381,2639,5.15,Rubber,0.91,2021
North Kalimantan,2.3322,115.081,2566,5.33,Palm Oil,4.12,2021
South Sumatra,-2.7899,104.319,2405,5.73,Rice,4.82,2019
Jakarta Special Capital Region,-6.1864,106.7816,2123,6.62,Urban Vegetables,3.92,2015
Aceh,4.8207,96.2763,2256,6.06,Rice,4.61,2017
Jambi,-2.0398,101.8985,2248,5.12,Rubber,0.93,2023
Central Java,-7.0291,110.5548,3114,6.36,Corn,3.88,2018
Bengkulu,-4.6997,103.4335,1980,4.5,Cinnamon,0.71,2022
West Kalimantan,0.0306,109.9402,3459,5.08,Rubber,0.97,2021
West Sulawesi,-3.2254,119.3234,2215,6.53,Coconut,4.0,2019
Jakarta Special Capital Region,-6.1528,106.7453,1939,6.43,Urban Vegetables,4.76,2018
Special Region of Yogyakarta,-7.9825,110.5826,2658,5.66,Rice,4.84,2015
West Java,-6.6238,108.2675,3171,5.12,Tea,1.75,2020
West Nusa Tenggara,-8.6734,117.5639,1728,6.47,Soybeans,2.5,2022
West Sumatra,-0.2475,100.2817,2674,5.34,Rice,5.17,2018
Aceh,4.6516,97.8539,2348,5.26,Rice,4.68,2019
East Kalimantan,-1.8275,116.1627,2730,5.96,Rice,4.61,2023
Maluku,-7.4771,131.4117,2838,6.56,Coconut,3.38,2015
East Nusa Tenggara,-9.2044,124.7001,1218,5.42,Cassava,8.38,2015
Central Sulawesi,-0.8734,123.1469,2097,5.68,Rice,4.05,2015
West Kalimantan,0.5896,109.8189,3146,5.25,Rubber,0.97,2023
North Kalimantan,4.0211,116.5816,2729,5.23,Rice,5.23,2023
Gorontalo,0.8317,122.6848,2516,5.81,Cashew,0.87,2020
South Kalimantan,-3.4429,115.0956,2939,5.21,Palm Oil,4.05,2017
South Kalimantan,-2.6453,116.2096,2781,5.66,Rice,5.07,2023
Central Kalimantan,-1.0481,114.4565,3075,4.55,Palm Oil,3.53,2024
South Sulawesi,-4.1206,120.2307,2092,5.42,Cocoa,1.69,2015
Riau,-0.0757,103.1857,2571,5.16,Rubber,1.04,2024
Bangka-Belitung Islands,-2.7415,108.1043,1945,5.8,Pepper,1.08,2016
Central Sulawesi,-0.6571,123.0563,2277,5.16,Rice,4.22,2022
North Sumatra,0.8492,99.7038,2730,5.38,Palm Oil,3.88,2017
East Kalimantan,-0.9961,115.7307,2589,5.36,Palm Oil,3.71,2016
Southeast Sulawesi,-3.3438,121.075,1759,5.63,Cashew,0.91,2019
North Sumatra,3.2658,98.253,2654,5.8,Rice,5.15,2024
Maluku,-6.2491,134.6339,2925,5.0,Rice,4.8,2022
Bangka-Belitung Islands,-1.6787,105.4987,1660,5.56,Pepper,0.93,2024
Aceh,4.1737,97.9167,2582,5.41,Rice,4.91,2024
Bengkulu,-3.3511,101.9573,2303,4.95,Cinnamon,0.83,2023
Jakarta Special Capital Region,-6.2095,106.872,1692,6.77,Urban Vegetables,5.04,2015
Banten,-6.0658,106.0269,1593,5.03,Rice,3.47,2024
South Kalimantan,-2.7799,114.8662,2538,5.11,Palm Oil,3.47,2018
Lampung,-4.2024,105.3103,1930,6.13,Sugarcane,6.34,2023
Special Region of Yogyakarta,-7.6965,110.3668,2706,5.4,Rice,4.8,2022
Bangka-Belitung Islands,-1.9285,105.9175,2061,5.5,Pepper,1.2,2017
Central Kalimantan,-2.1108,112.9685,3272,5.08,Rubber,0.91,2019
Southeast Sulawesi,-4.8519,122.4327,1972,5.58,Cocoa,1.57,2023
West Kalimantan,-0.0881,113.0331,2951,5.35,Rice,4.47,2018
Central Sulawesi,-0.6732,120.0558,2180,5.73,Rice,4.2,2015
West Sulawesi,-1.6548,119.6472,2286,5.72,Cocoa,1.85,2015
West Java,-7.0323,108.6853,3505,5.0,Rice,4.21,2023
North Kalimantan,3.2734,116.8043,2821,5.48,Rice,5.11,2020
West Papua,-0.7986,130.8546,3382,4.98,Sago,12.43,2019
Jambi,-1.932,101.8774,2198,5.91,Coffee,1.25,2022
Bangka-Belitung Islands,-2.6128,107.7379,2268,5.71,Rice,4.67,2016
Jakarta Special Capital Region,-6.271,106.7935,2070,5.5,Fruit,3.14,2016
South Sumatra,-4.3088,104.3331,1893,4.5,Rubber,0.88,2022
Bangka-Belitung Islands,-2.8645,107.3899,1960,5.3,Rubber,0.91,2015
Special Region of Yogyakarta,-8.1529,110.6913,2720,5.79,Rice,4.47,2015
Gorontalo,0.6428,123.1652,2017,6.04,Cashew,0.9,2019
Bangka-Belitung Islands,-2.9219,107.6748,2137,5.92,Pepper,1.12,2021
West Kalimantan,-0.4608,109.6855,2821,5.26,Rubber,0.92,2019
Bali,-8.4718,115.5795,1862,5.58,Coffee,1.26,2020
Banten,-6.4766,105.6695,2106,5.63,Rice,5.13,2018
West Kalimantan,-2.2478,110.1884,3029,5.23,Palm Oil,3.77,2016
Papua,-4.0399,137.0602,3293,5.81,Cassava,7.95,2017
South Sumatra,-4.4273,103.9065,2158,5.49,Palm Oil,4.21,2017
Riau,-0.4711,102.6293,2474,6.04,Coconut,3.92,2021
North Sumatra,2.7412,99.5583,2567,5.56,Rice,4.01,2024
Banten,-6.9571,106.2928,1798,5.54,Rice,4.53,2023
South Sumatra,-2.9237,102.8313,2103,4.5,Palm Oil,3.87,2021
Bengkulu,-4.1655,103.0387,2185,5.4,Rice,4.38,2015
Bengkulu,-3.4086,102.1709,2306,5.24,Rice,5.36,2018
North Maluku,1.1302,128.5624,2985,6.27,Coconut,4.0,2019
East Nusa Tenggara,-8.2547,125.1329,1314,5.45,Cocoa,1.66,2020
Jambi,-0.9877,102.2011,2592,5.64,Rice,4.7,2017
South Sulawesi,-4.3147,119.7987,2045,5.0,Cocoa,1.65,2015
West Nusa Tenggara,-8.2033,118.1182,1662,6.31,Soybeans,2.08,2015
Southeast Sulawesi,-5.2409,123.071,2121,5.55,Rice,5.14,2017
Special Region of Yogyakarta,-7.9816,110.5443,2825,5.98,Corn,4.61,2024
West Sumatra,0.7429,100.0754,2688,5.86,Rice,5.64,2020
Central Java,-7.5514,111.0962,2859,5.65,Rice,4.92,2023
East Kalimantan,0.3026,116.6743,2679,5.54,Rice,4.64,2016
North Kalimantan,2.7237,116.6513,2529,4.99,Palm Oil,4.01,2020
North Sumatra,1.2035,99.1025,2871,5.23,Rice,4.64,2024
West Kalimantan,0.5292,113.6016,2925,5.66,Palm Oil,3.55,2021
West Kalimantan,1.1072,109.2268,3263,4.81,Palm Oil,3.79,2016
Southeast Sulawesi,-4.0164,121.7847,1981,5.63,Cashew,0.93,2023
West Sulawesi,-1.8326,119.3675,2510,5.0,Cocoa,1.58,2023
East Kalimantan,-1.0276,116.6633,2985,5.53,Palm Oil,3.48,2022
Special Region of Yogyakarta,-7.8125,110.5584,2574,6.14,Corn,4.12,2018
North Kalimantan,3.6714,116.4978,2482,5.05,Rubber,0.87,2022
West Java,-6.545,106.9034,2992,5.15,Tea,1.94,2020
Bengkulu,-3.5108,102.2573,2518,5.38,Coffee,1.29,2018
Central Java,-7.7322,109.4652,2394,6.15,Corn,3.44,2024
Bali,-8.4194,115.2512,2155,5.76,Rice,5.2,2021
West Kalimantan,0.1738,109.9753,3124,5.15,Palm Oil,4.32,2022
South Sumatra,-3.9111,104.0917,2503,5.31,Palm Oil,3.14,2016
South Sumatra,-3.413,103.6593,2125,5.05,Rubber,1.02,2016
Bangka-Belitung Islands,-2.4886,106.3659,2066,5.99,Rice,5.45,2020
Riau,0.1356,101.0102,2543,4.94,Palm Oil,4.02,2021
Jakarta Special Capital Region,-6.3496,106.8129,1703,6.58,Urban Vegetables,4.57,2020
Southeast Sulawesi,-4.2798,122.5112,2451,5.19,Cocoa,1.35,2024
Maluku,-8.1738,129.8585,3016,6.51,Coconut,3.69,2015
Special Region of Yogyakarta,-7.7389,110.3675,2214,5.89,Rice,4.12,2023
Jakarta Special Capital Region,-6.2639,106.7713,1826,6.08,Fruit,4.11,2016
Gorontalo,0.4875,122.0798,2157,5.88,Corn,4.6,2020
South Kalimantan,-3.9155,115.0918,2797,5.38,Rubber,0.88,2024
South Sumatra,-2.7663,105.6634,2124,5.82,Palm Oil,3.44,2016
Jakarta Special Capital Region,-6.2524,106.9387,1886,5.52,Fruit,4.01,2017
North Kalimantan,1.4964,114.7006,2674,5.45,Rice,4.7,2020
Riau,-1.0518,102.5911,2081,5.28,Rubber,0.85,2024
North Kalimantan,1.9752,116.05,2840,5.33,Rubber,1.03,2019
Central Kalimantan,-2.1609,112.3303,3023,4.7,Palm Oil,4.04,2022
East Nusa Tenggara,-10.0469,120.6975,1213,5.3,Cassava,9.53,2024
East Java,-7.8195,112.3988,2289,5.0,Rice,4.15,2020
Aceh,5.1525,96.4157,2444,5.41,Coffee,1.54,2021
Bali,-8.5185,115.3302,2118,6.14,Fruit,4.3,2023
West Papua,-1.5309,131.9273,3612,5.92,Sweet Potato,15.37,2023
Aceh,4.8988,97.8003,2739,5.04,Rice,4.62,2020
West Kalimantan,0.8386,111.392,3300,5.38,Palm Oil,3.53,2018
Bangka-Belitung Islands,-2.6579,108.0493,1852,5.3,Rice,4.22,2015
Papua,-3.9641,140.8323,3450,5.28,Cassava,9.0,2016
East Kalimantan,0.8064,117.0933,2950,5.03,Palm Oil,3.88,2017
Riau,2.019,100.8566,2428,4.97,Palm Oil,3.96,2017
Lampung,-5.407,104.7443,2223,5.6,Coffee,1.41,2018
West Sumatra,-2.3538,99.8017,2644,5.37,Rice,4.91,2022
Central Sulawesi,-0.8475,122.9465,2628,5.13,Rice,4.65,2023
North Kalimantan,4.0925,117.3937,2953,5.17,Rubber,0.88,2022
Papua,-4.3372,138.6791,3567,6.5,Sweet Potato,15.12,2017
Central Kalimantan,-1.0543,113.8772,2788,5.1,Palm Oil,3.26,2017
Special Region of Yogyakarta,-7.8151,110.27,2444,5.96,Rice,4.36,2023
Special Region of Yogyakarta,-8.1482,110.6186,3031,6.93,Soybeans,2.22,2022
Aceh,4.1056,97.9549,2744,5.69,Rice,4.36,2015
East Java,-7.5885,112.6781,2426,5.72,Corn,4.57,2018
South Kalimantan,-3.0525,115.2332,3302,5.27,Rubber,0.87,2021
Banten,-6.6939,105.6132,1901,6.0,Rice,5.03,2018
South Sulawesi,-5.4562,119.573,2005,5.42,Cocoa,1.57,2019
